grafo_id,n,p,optimizer,seed,r_final
1,8,1,qiea,19,0.79831
1,8,1,cobyla,0,0.800692
1,8,1,cobyla,1,0.800692
1,8,1,cobyla,2,0.800692
1,8,1,cobyla,3,0.800692
1,8,1,cobyla,4,0.800692
1,8,1,cobyla,5,0.800692
1,8,1,cobyla,6,0.800692
1,8,1,cobyla,7,0.800692
1,8,1,cobyla,8,0.800692
1,8,1,cobyla,9,0.800692
1,8,1,cobyla,10,0.800692
1,8,1,cobyla,11,0.800692
1,8,1,cobyla,12,0.6
1,8,1,cobyla,13,0.800692
1,8,1,cobyla,14,0.800692
1,8,1,cobyla,15,0.800692
1,8,1,cobyla,16,0.800692
1,8,1,cobyla,17,0.800692
1,8,1,cobyla,18,0.800692
1,8,1,cobyla,19,0.800692
1,8,1,random,0,0.799765
1,8,1,random,1,0.800605
1,8,1,random,2,0.800228
1,8,1,random,3,0.800394
1,8,1,random,4,0.799773
1,8,1,random,5,0.799983
1,8,1,random,6,0.800634
1,8,1,random,7,0.800442
1,8,1,random,8,0.800439
1,8,1,random,9,0.79984
1,8,1,random,10,0.800628
1,8,1,random,11,0.80065
1,8,1,random,12,0.800512
1,8,1,random,13,0.800676
1,8,1,random,14,0.80062
1,8,1,random,15,0.799487
1,8,1,random,16,0.800574
1,8,1,random,17,0.800597
1,8,1,random,18,0.800555
1,8,1,random,19,0.800549
1,8,1,cobyla_restart,0,0.800692
1,8,1,cobyla_restart,1,0.800692
1,8,1,cobyla_restart,2,0.800692
1,8,1,cobyla_restart,3,0.800692
1,8,1,cobyla_restart,4,0.800692
1,8,1,cobyla_restart,5,0.800692
1,8,1,cobyla_restart,6,0.800692
1,8,1,cobyla_restart,7,0.800692
1,8,1,cobyla_restart,8,0.800692
1,8,1,cobyla_restart,9,0.800692
1,8,1,cobyla_restart,10,0.800692
1,8,1,cobyla_restart,11,0.800692
1,8,1,cobyla_restart,12,0.800692
1,8,1,cobyla_restart,13,0.800692
1,8,1,cobyla_restart,14,0.800692
1,8,1,cobyla_restart,15,0.800692
1,8,1,cobyla_restart,16,0.800692
1,8,1,cobyla_restart,17,0.800692
1,8,1,cobyla_restart,18,0.800692
1,8,1,cobyla_restart,19,0.800692
1,8,2,qiea,0,0.830245
1,8,2,qiea,1,0.878243
1,8,2,qiea,2,0.860356
1,8,2,qiea,3,0.877766
1,8,2,qiea,4,0.860951
1,8,2,qiea,5,0.877799
1,8,2,qiea,6,0.868694
1,8,2,qiea,7,0.86209
1,8,2,qiea,8,0.851915
1,8,2,qiea,9,0.854248
1,8,2,qiea,10,0.877121
1,8,2,qiea,11,0.850182
1,8,2,qiea,12,0.843929
1,8,2,qiea,13,0.85791
1,8,2,qiea,14,0.857023
1,8,2,qiea,15,0.851562
1,8,2,qiea,16,0.877918
1,8,2,qiea,17,0.852895
1,8,2,qiea,18,0.844975
1,8,2,qiea,19,0.86913
1,8,2,cobyla,0,0.857056
1,8,2,cobyla,1,0.862994
1,8,2,cobyla,2,0.862994
1,8,2,cobyla,3,0.857056
1,8,2,cobyla,4,0.878424
1,8,2,cobyla,5,0.857056
1,8,2,cobyla,6,0.857056
1,8,2,cobyla,7,0.862994
1,8,2,cobyla,8,0.862994
1,8,2,cobyla,9,0.878424
1,8,2,cobyla,10,0.878424
1,8,2,cobyla,11,0.878424
1,8,2,cobyla,12,0.857056
1,8,2,cobyla,13,0.857056
1,8,2,cobyla,14,0.862994
1,8,2,cobyla,15,0.862994
1,8,2,cobyla,16,0.878424
1,8,2,cobyla,17,0.857056
1,8,2,cobyla,18,0.857056
1,8,2,cobyla,19,0.862994
1,8,2,random,0,0.867046
1,8,2,random,1,0.872633
1,8,2,random,2,0.856701
1,8,2,random,3,0.872958
1,8,2,random,4,0.853791
1,8,2,random,5,0.867565
1,8,2,random,6,0.859031
1,8,2,random,7,0.846025
1,8,2,random,8,0.860382
1,8,2,random,9,0.870146
1,8,2,random,10,0.863103
1,8,2,random,11,0.852466
1,8,2,random,12,0.854801
1,8,2,random,13,0.868499
1,8,2,random,14,0.851943
1,8,2,random,15,0.855318
1,8,2,random,16,0.868553
1,8,2,random,17,0.860515
1,8,2,random,18,0.864836
1,8,2,random,19,0.85387
1,8,2,cobyla_restart,0,0.878424
1,8,2,cobyla_restart,1,0.878424
1,8,2,cobyla_restart,2,0.878424
1,8,2,cobyla_restart,3,0.878424
1,8,2,cobyla_restart,4,0.878424
1,8,2,cobyla_restart,5,0.878424
1,8,2,cobyla_restart,6,0.878424
1,8,2,cobyla_restart,7,0.862994
1,8,2,cobyla_restart,8,0.878424
1,8,2,cobyla_restart,9,0.878424
1,8,2,cobyla_restart,10,0.878424
1,8,2,cobyla_restart,11,0.878424
1,8,2,cobyla_restart,12,0.878424
1,8,2,cobyla_restart,13,0.878424
1,8,2,cobyla_restart,14,0.878424
1,8,2,cobyla_restart,15,0.878424
1,8,2,cobyla_restart,16,0.878424
1,8,2,cobyla_restart,17,0.878424
1,8,2,cobyla_restart,18,0.878424
1,8,2,cobyla_restart,19,0.878424
2,8,1,qiea,0,0.775997
